Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST
ci,14343952,1,"Monday, January 21, 2008 04:39:52 UTC",32.8476,-115.6048,1.3,16.30,24
ak,00025179,1,"Monday, January 21, 2008 04:28:55 UTC",64.4099,-149.8364,2.1,8.10,15
ak,00025178,1,"Monday, January 21, 2008 04:23:13 UTC",63.3903,-151.4471,1.7,9.60,11
ak,00025176,1,"Monday, January 21, 2008 04:15:17 UTC",61.5039,-151.4955,1.5,61.60,13
nc,51195028,1,"Monday, January 21, 2008 04:00:15 UTC",37.5748,-118.8702,1.5,3.90,20
us,2008mlai,7,"Monday, January 21, 2008 03:41:35 UTC",-34.6635,-112.2904,4.7,10.00,24
nc,51195024,1,"Monday, January 21, 2008 03:33:20 UTC",38.8178,-122.7872,1.3,1.80,15
ak,00025172,1,"Monday, January 21, 2008 03:30:47 UTC",63.8654,-149.7675,1.7,19.70,05
hv,00027569,0,"Monday, January 21, 2008 03:25:05 UTC",19.8717,-155.5250,3.2,24.60,00
ci,14343940,1,"Monday, January 21, 2008 03:24:19 UTC",33.0081,-116.3368,1.4,9.10,44
us,2008mlae,7,"Monday, January 21, 2008 03:24:13 UTC",46.2694,153.5371,4.7,58.40,38
ci,14343936,1,"Monday, January 21, 2008 03:23:47 UTC",33.6501,-116.7285,1.0,18.90,40
us,2008mlah,6,"Monday, January 21, 2008 03:22:58 UTC",-0.0031,123.8661,4.9,160.50,10
ci,14343928,1,"Monday, January 21, 2008 03:16:18 UTC",35.3426,-118.5651,1.7,9.80,13
us,2008mlaj,7,"Monday, January 21, 2008 03:12:22 UTC",41.1425,142.3582,4.7,83.90,14
nn,00230227,1,"Monday, January 21, 2008 03:08:21 UTC",38.4810,-118.0640,2.2,16.00,12
ci,14343904,1,"Monday, January 21, 2008 03:07:18 UTC",33.5099,-116.5016,1.5,16.10,31
us,2008mlad,6,"Monday, January 21, 2008 02:49:11 UTC",-10.6669,41.3919,5.0,10.00,30
ak,00025170,1,"Monday, January 21, 2008 01:53:14 UTC",60.7335,-150.6356,2.7,43.70,18
ci,14343896,1,"Monday, January 21, 2008 01:29:52 UTC",35.3401,-118.5893,1.6,2.70,12
ci,14343892,1,"Monday, January 21, 2008 01:24:59 UTC",35.3491,-118.5745,1.6,8.60,15
ak,00025169,1,"Monday, January 21, 2008 00:31:58 UTC",62.2090,-150.1879,1.8,9.00,07
ak,00025168,1,"Monday, January 21, 2008 00:21:28 UTC",61.9622,-150.6807,2.5,58.10,13
ci,14343872,1,"Monday, January 21, 2008 00:14:05 UTC",33.1795,-115.6695,1.5,23.40,21
nc,51195020,1,"Sunday, January 20, 2008 23:48:05 UTC",35.7238,-121.0617,1.6,5.80,23
ci,14343868,1,"Sunday, January 20, 2008 22:53:40 UTC",34.2111,-117.5113,1.4,7.10,39
ci,14343864,1,"Sunday, January 20, 2008 22:14:38 UTC",33.6900,-116.0333,2.6,10.30,82
nc,51195015,1,"Sunday, January 20, 2008 21:55:55 UTC",38.7872,-122.7733,1.2,2.40, 9
nc,51195014,1,"Sunday, January 20, 2008 21:23:17 UTC",38.8352,-122.8268,1.3,2.10,14
ak,00025165,2,"Sunday, January 20, 2008 21:20:11 UTC",54.7023,-160.9107,2.3,10.90,06
ak,00025163,1,"Sunday, January 20, 2008 20:53:59 UTC",61.7222,-151.5174,2.0,82.40,07
ak,00025160,1,"Sunday, January 20, 2008 20:46:08 UTC",65.8118,-160.5422,3.6,4.50,18
us,2008mka2,7,"Sunday, January 20, 2008 20:26:06 UTC",2.3622,126.9811,5.9,53.30,32
nc,51195012,1,"Sunday, January 20, 2008 20:19:18 UTC",40.1505,-122.7495,2.3,0.10,24
ak,00025154,1,"Sunday, January 20, 2008 19:54:28 UTC",64.8108,-147.5755,1.0,0.00,08
ci,14343856,1,"Sunday, January 20, 2008 19:53:31 UTC",32.6036,-115.7651,1.4,1.60,18
ak,00025153,1,"Sunday, January 20, 2008 19:39:20 UTC",63.1714,-151.4765,1.5,13.90,07
nc,51195007,1,"Sunday, January 20, 2008 19:00:00 UTC",38.7853,-122.7298,1.4,2.10, 9
us,2008mkay,7,"Sunday, January 20, 2008 18:41:53 UTC",-44.9358,167.0004,5.2,35.00,19
ak,00025151,1,"Sunday, January 20, 2008 18:38:16 UTC",63.5545,-147.2952,1.5,0.00,08
nc,51195002,1,"Sunday, January 20, 2008 17:29:36 UTC",38.7593,-122.7227,2.2,1.10,25
nn,00230210,1,"Sunday, January 20, 2008 17:28:59 UTC",35.8350,-115.1190,1.4,0.00,10
nc,51194999,1,"Sunday, January 20, 2008 17:21:58 UTC",38.7903,-122.7663,1.6,2.40,20
ci,14343852,1,"Sunday, January 20, 2008 16:52:33 UTC",33.1570,-116.1201,1.5,8.10,17
ak,00025150,1,"Sunday, January 20, 2008 16:52:08 UTC",60.2693,-152.8962,1.4,84.50,04
nc,51194995,1,"Sunday, January 20, 2008 16:40:01 UTC",38.7983,-122.7992,1.4,3.50,25
ak,00025149,1,"Sunday, January 20, 2008 16:39:20 UTC",61.2450,-151.4331,1.6,35.60,06
ci,14343848,1,"Sunday, January 20, 2008 16:28:40 UTC",33.4640,-116.8905,1.4,14.00,46
nc,51194994,1,"Sunday, January 20, 2008 15:21:16 UTC",38.8242,-122.8270,1.0,2.00,12
us,2008mkau,Q,"Sunday, January 20, 2008 15:15:15 UTC",-31.2957,-179.9573,4.9,341.90,32
us,2008mkav,Q,"Sunday, January 20, 2008 14:47:17 UTC",5.0893,94.1720,4.6,35.00,15
uw,01201426,1,"Sunday, January 20, 2008 14:26:26 UTC",48.0576,-122.6204,1.9,27.40,25
ak,00025145,1,"Sunday, January 20, 2008 14:18:42 UTC",54.4134,-164.3817,2.1,47.90,13
nc,51194993,1,"Sunday, January 20, 2008 14:18:34 UTC",36.6822,-121.3130,1.3,2.90, 8
ci,14343844,1,"Sunday, January 20, 2008 14:11:43 UTC",35.7823,-118.5635,1.5,11.80,19
ak,00025142,1,"Sunday, January 20, 2008 13:51:38 UTC",59.5240,-152.9135,2.4,93.50,09
nc,51194990,1,"Sunday, January 20, 2008 13:39:28 UTC",37.9887,-118.6850,2.0,5.70,10
ak,00025141,1,"Sunday, January 20, 2008 13:31:18 UTC",63.2839,-151.9076,1.2,1.30,04
nc,51194988,1,"Sunday, January 20, 2008 13:11:17 UTC",38.8243,-122.8298,1.6,2.50,22
nn,00230195,1,"Sunday, January 20, 2008 13:04:20 UTC",37.1260,-115.4200,1.3,0.00,40
ci,14343836,1,"Sunday, January 20, 2008 12:41:44 UTC",33.4100,-116.4438,1.3,13.70,23
nc,51194987,1,"Sunday, January 20, 2008 12:28:47 UTC",40.1600,-122.7737,2.4,10.00,28
ci,14343828,1,"Sunday, January 20, 2008 12:24:59 UTC",35.9815,-117.0200,1.4,0.10,15
nc,51194986,1,"Sunday, January 20, 2008 12:22:04 UTC",39.3528,-123.2742,1.8,0.80,10
nc,51194984,1,"Sunday, January 20, 2008 12:06:37 UTC",38.8383,-122.7660,1.5,1.40,12
nc,51194983,1,"Sunday, January 20, 2008 11:53:29 UTC",37.4303,-121.7730,1.6,10.20,35
nm,hwb0120b,A,"Sunday, January 20, 2008 11:52:52 UTC",33.9199,-89.8800,1.7,4.10, 7
nc,51194982,1,"Sunday, January 20, 2008 11:47:08 UTC",38.8190,-122.8210,1.5,2.80,23
nc,51194981,1,"Sunday, January 20, 2008 11:37:58 UTC",40.1642,-122.7820,2.0,0.20,21
ak,00025140,1,"Sunday, January 20, 2008 11:31:55 UTC",63.4633,-151.3694,1.0,11.00,04
nc,51194980,1,"Sunday, January 20, 2008 11:16:39 UTC",35.9265,-119.7852,3.0,22.40,91
nc,51194979,1,"Sunday, January 20, 2008 11:10:09 UTC",38.8352,-122.8277,1.3,2.20,16
nc,51194978,1,"Sunday, January 20, 2008 11:02:56 UTC",38.8358,-122.8305,1.0,2.20,11
ci,14343820,1,"Sunday, January 20, 2008 10:51:13 UTC",33.5305,-116.4478,1.2,12.70,25
us,2008mkam,7,"Sunday, January 20, 2008 10:27:23 UTC",1.7973,126.7391,5.1,81.00,34
hv,00027567,0,"Sunday, January 20, 2008 10:17:56 UTC",19.5287,-155.5403,1.8,22.00,00
nc,51194976,1,"Sunday, January 20, 2008 10:00:50 UTC",37.9040,-122.1263,1.7,11.40,24
ci,14343816,1,"Sunday, January 20, 2008 09:43:17 UTC",33.4195,-116.4468,1.4,5.60,22
